Ticker,Company Name,Sector,Industry Group,Country,Dividend Yield,Dividend Payout Ratio,Last
SEE,Sealed Air Corp,Consumer Goods,Packaging & Containers,United States of America,0.014964,0.199642,44.22
SEIC,SEI Investments Co,Financial,Asset Management,United States of America,0.012786,0.232321,58.66
SF,Stifel Financial Corp,Financial,Investment Brokerage - Regional,United States of America,0.007875,0.146499,63.01
SFBC,Sound Financial Bancorp Inc,Financial,Money Center Banks,United States of America,0.019167,0.279191,37.5639
SFBS,ServisFirst Bancshares Inc,Financial,Foreign Money Center Banks,United States of America,0.013934,0.166852,54.41
SFNC,Simmons First National Corp,Financial,Money Center Banks,United States of America,0.022089,0.292836,31.56
SGC,Superior Uniform Group Inc,Consumer Goods,Textile - Apparel Clothing,United States of America,0.016653,0.148954,25.03
SHBI,Shore Bancshares Inc,Financial,Regional - Mid-Atlantic Banks,United States of America,0.031311,0.37943,15.67
SHEN,Shenandoah Telecommunications Co,Technology,Telecom Services - Domestic,United States of America,0.007593,0.129606,47.89
SHLX,Shell Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,United States of America,0.14673,1.233813,12.75
SHW,Sherwin-Williams Co,Basic Materials,Specialty Chemicals,United States of America,0.008597,0.240347,675
SIGI,Selective Insurance Group Inc,Financial,Property & Casualty Insurance,United States of America,0.014037,0.221169,71.25
SIRI,Sirius XM Holdings Inc,Services,Broadcasting - Radio,United States of America,0.009637,1.80916,5.9
SITC,SITE Centers Corp,Financial,REIT - Retail,United States of America,0.019172,2.687838,13.25
SJI,South Jersey Industries Inc,Utilities,Gas Utilities,United States of America,0.047292,0.730015,26.64
SJW,SJW Group,Utilities,Water Utilities,United States of America,0.021183,0.593498,62.52
SLG,SL Green Realty Corp,Financial,REIT - Retail,United States of America,0.075573,0.743045,72.49
SLGN,Silgan Holdings Inc,Consumer Goods,Packaging & Containers,United States of America,0.012374,0.173758,40.39
SLM,SLM Corp,Financial,Credit Services,United States of America,0.007505,0.063683,16.12
SMBK,SmartFinancial Inc,Financial,Regional - Northeast Banks,United States of America,0.009598,0.132659,22.44
SMMF,Summit Financial Group Inc,Financial,Regional - Mid-Atlantic Banks,United States of America,0.028146,0.289043,24.5
SMP,Standard Motor Products Inc,Consumer Goods,Auto Parts,United States of America,0.011529,0.195459,43.66
SNA,Snap-On Inc,Industrial Goods,Small Tools & Accessories,United States of America,0.021908,0.376392,217.4
SNDR,Schneider National Inc,Services,Trucking,United States of America,0.092471,1.889466,24.99
